epoch,train_loss,val_loss
1,0.0841798250079155,0.06635843336582184
2,0.03692149828374386,0.027358754873275756
3,0.024962611675262453,0.021680147275328635
4,0.018914988979697227,0.015648198835551737
5,0.014537599489092827,0.01578956685960293
6,0.01494201398640871,0.010880318842828274
7,0.009807761013507842,0.007781277131289244
8,0.007139376971870661,0.006106741633266211
9,0.005515971925109625,0.0047825370915234085
10,0.004471307940781116,0.0041188229154795405
11,0.0037918478827923536,0.0034478562511503696
12,0.0032443606350570915,0.0029761083982884884
13,0.002837480366230011,0.002583983587101102
14,0.0025612597577273845,0.002435890715569258
15,0.0023659380730241537,0.002181280772201717
